,name,link,upc,price,rating,reviews
31,Cascade Platinum ActionPacs Dishwasher Detergent Lemon (16.7 oz ),http://www.walgreens.com/store/c/cascade-platinum-actionpacs-dishwasher-detergent-lemon/ID=prod6370925-product, 03700098212,11.49,4.2,6111
32,Drano Snake Plus Drain Cleaning Kit (16 Ounces ),http://www.walgreens.com/store/c/drano-snake-plus-drain-cleaning-kit/ID=prod6089648-product, 01980070241,7.49,5.0,2
33,Palmolive Dish Soap Original (10 fl oz ),http://www.walgreens.com/store/c/palmolive-dish-soap-original/ID=prod6345416-product, 03500000059,1.29,4.4,812
34,"Clorox ToiletWand Disinfecting Refills, Disposable Wand Heads (10 ea )","http://www.walgreens.com/store/c/clorox-toiletwand-disinfecting-refills,-disposable-wand-heads/ID=prod6045929-product", 04460001717,5.49,4.6,1411
35,Finish Jet-Dry Dishwasher Rinse Agent (8.45 fl oz ),http://www.walgreens.com/store/c/finish-jet-dry-dishwasher-rinse-agent/ID=prod389355-product, 05170036930,4.99,4.5,6
36,Cascade Platinum ActionPacs + Oxi Fresh (0.55 oz ),http://www.walgreens.com/store/c/cascade-platinum-actionpacs---oxi-fresh/ID=prod6390813-product, 03700098089,12.49,4.8,640
37,Lysol Neutra Air Sanitizing Spray Revitalizing Fresh Breeze (10 oz ),http://www.walgreens.com/store/c/lysol-neutra-air-sanitizing-spray-revitalizing-fresh-breeze/ID=prod389357-product, 01920076938,3.99,4.8,40
38,"Clorox Disinfecting Wipes, Bleach Free Cleaning Wipes Lemon, Citrus Blend (35 ea )","http://www.walgreens.com/store/c/clorox-disinfecting-wipes,-bleach-free-cleaning-wipes-lemon,-citrus-blend/ID=prod372207-product", 04460001594,,4.8,15746
39,Lysol Mold & Mildew Foamer with Bleach (32 oz ),http://www.walgreens.com/store/c/lysol-mold-&-mildew-foamer-with-bleach/ID=prod2107021-product, 01920078915,4.99,4.3,31
40,Arm & Hammer Liquid Odor Blasters Fresh Burst (43.75 oz ),http://www.walgreens.com/store/c/arm-&-hammer-liquid-odor-blasters-fresh-burst/ID=prod6370894-product, 03320097240,6.99,4.8,121
41,"Clorox Disinfecting Wipes Value Pack, Bleach Free Cleaning Wipes Assorted (75 ea )","http://www.walgreens.com/store/c/clorox-disinfecting-wipes-value-pack,-bleach-free-cleaning-wipes-assorted/ID=prod6145476-product", 04460001599,9.99,4.8,15743
42,Nice! Disinfectant Wipes Fresh (35 ea ),http://www.walgreens.com/store/c/nice!-disinfectant-wipes-fresh/ID=prod6298604-product, 04902285098,3.49,5.0,3
43,Dawn Platinum Dishwashing Liquid Dish Soap (16.2 oz ),http://www.walgreens.com/store/c/dawn-platinum-dishwashing-liquid-dish-soap/ID=prod6383735-product, 03700097291,2.99,4.8,149
44,Ajax Powder Cleanser (14 oz ),http://www.walgreens.com/store/c/ajax-powder-cleanser/ID=prod699137-product, 03500005360,0.99,4.7,7
45,Lysol Dual Action Disinfecting Wipes Citrus (35 ea ),http://www.walgreens.com/store/c/lysol-dual-action-disinfecting-wipes-citrus/ID=prod6068170-product, 01920081143,3.99,4.5,64
46,Lysol Disinfecting Wipes Brand New Day (80 ea ),http://www.walgreens.com/store/c/lysol-disinfecting-wipes-brand-new-day/ID=prod6367409-product, 01920097181,6.29,4.3,136
47,Lysol Power & Free Multi-Purpose Cleaner Citrus Sparkle Zest (22 fl oz ),http://www.walgreens.com/store/c/lysol-power-&-free-multi-purpose-cleaner-citrus-sparkle-zest/ID=prod6144208-product, 01920085017,4.49,4.3,103
48,Lysol Disinfectant Spray Linen (12.5 Ounces ),http://www.walgreens.com/store/c/lysol-disinfectant-spray-linen/ID=prod1215-product, 01920074186,6.99,3.8,140
49,Swiffer Sweeper Wet Mopping Cloths Open Window Fresh Grand Air (24 ea ),http://www.walgreens.com/store/c/swiffer-sweeper-wet-mopping-cloths-open-window-fresh-grand-air/ID=prod6143444-product, 03700035155,9.99,3.9,88
50,"Tilex Plus Tilex Daily Shower Cleaner, Spray Bottle Fresh (32 fl oz )","http://www.walgreens.com/store/c/tilex-plus-tilex-daily-shower-cleaner,-spray-bottle-fresh/ID=prod3802-product", 04460001260,,2.9,35
51,Dawn Ultra Antibacterial Dishwashing Liquid Soap (19.4 fl oz ),http://www.walgreens.com/store/c/dawn-ultra-antibacterial-dishwashing-liquid-soap/ID=prod6383747-product, 03700097307,2.99,4.6,161
52,"Palmolive Ultra Antibacterial Liquid Dish Soap, Hand Soap Orange (10 fl oz )","http://www.walgreens.com/store/c/palmolive-ultra-antibacterial-liquid-dish-soap,-hand-soap-orange/ID=prod6012336-product", 03500000163,1.29,3.2,17
53,"Clorox Bathroom Foamer with Bleach, Spray Bottle, Original (30 fl oz )","http://www.walgreens.com/store/c/clorox-bathroom-foamer-with-bleach,-spray-bottle,-original/ID=prod6062634-product", 04460030614,4.29,4.3,152
54,Nice! Disinfectant Wipes (2 ea ),http://www.walgreens.com/store/c/nice!-disinfectant-wipes/ID=prod6298610-product, 04902285536,,5.0,2
55,Lysol Complete Clean Bathroom Cleaner Spray Island Breeze (32 fl oz ),http://www.walgreens.com/store/c/lysol-complete-clean-bathroom-cleaner-spray-island-breeze/ID=prod6008194-product, 01920002699,4.79,3.2,42
56,Clorox Disinfecting Bathroom Cleaner Spray (30 fl oz ),http://www.walgreens.com/store/c/clorox-disinfecting-bathroom-cleaner-spray/ID=prod1375536-product, 04460008033,4.29,4.7,167
57,Seventh Generation Disinfecting Wipes Lemongrass Citrus (70 ea ),http://www.walgreens.com/store/c/seventh-generation-disinfecting-wipes-lemongrass-citrus/ID=prod6109727-product, 73291322813,5.99,4.1,365
58,Tilex Mold & Mildew Remover Spray (32 fl oz ),http://www.walgreens.com/store/c/tilex-mold-&-mildew-remover-spray/ID=prod6012150-product, 04460001195,5.79,2.7,15
59,Persil ProClean Liquid Laundry Detergent Original (40 fl oz ),http://www.walgreens.com/store/c/persil-proclean-liquid-laundry-detergent-original/ID=prod6370851-product, 02420009414,7.49,4.0,9642
60,"Clorox Disinfecting Wipes, Bleach Free Cleaning Wipes Fresh, Fresh Scent (35 ea )","http://www.walgreens.com/store/c/clorox-disinfecting-wipes,-bleach-free-cleaning-wipes-fresh,-fresh-scent/ID=prod372209-product", 04460001593,,4.9,2023
61,Fabuloso Multi-Purpose Cleaner Liquid Ocean Paradise (22 oz ),http://www.walgreens.com/store/c/fabuloso-multi-purpose-cleaner-liquid-ocean-paradise/ID=prod6212238-product, 03500053106,1.99,,
62,Lysol Disinfectant Spray Crisp Linen (19 oz ),http://www.walgreens.com/store/c/lysol-disinfectant-spray-crisp-linen/ID=prod2560790-product, 01920079329,8.99,3.8,142
63,"Clorox Disinfecting Wipes, Bleach Free Cleaning Wipes Lemon, Citrus Blend (75 ea )","http://www.walgreens.com/store/c/clorox-disinfecting-wipes,-bleach-free-cleaning-wipes-lemon,-citrus-blend/ID=prod6017023-product", 04460001628,6.29,4.8,15742
64,Lysol Disinfecting Wipes Ocean Fresh (35 ea ),http://www.walgreens.com/store/c/lysol-disinfecting-wipes-ocean-fresh/ID=prod350889-product, 01920081146,3.99,4.3,137
65,Method Glass + Surface Cleaner Mint (28 fl oz ),http://www.walgreens.com/store/c/method-glass-%2b-surface-cleaner-mint/ID=prod6085127-product, 81793900003,4.29,4.9,8
66,Lysol Laundry Sanitizer Crisp Linen (41 fl oz ),http://www.walgreens.com/store/c/lysol-laundry-sanitizer-crisp-linen/ID=prod6370874-product, 01920095871,7.49,5.0,2
67,Dawn Gentle Clean Dishwashing Liquid Dish Soap (16.2 fl oz ),http://www.walgreens.com/store/c/dawn-gentle-clean-dishwashing-liquid-dish-soap/ID=prod6383722-product, 03700097289,2.99,4.7,84
68,Resolve Spot + Stain Carpet Stain Remover (22 fl oz ),http://www.walgreens.com/store/c/resolve-spot---stain-carpet-stain-remover/ID=prod4234-product, 01920000601,6.49,3.9,13
69,Seventh Generation Disinfecting Multi-Surface Cleaner Lemongrass Citrus (26 fl oz ),http://www.walgreens.com/store/c/seventh-generation-disinfecting-multi-surface-cleaner-lemongrass-citrus/ID=prod6146748-product, 73291322810,3.59,3.3,106
70,Nice! Glass Cleaner (32 oz ),http://www.walgreens.com/store/c/nice!-glass-cleaner/ID=prod6334584-product, 04902291382,3.49,,
71,Nice! Premium Dishwasher Packs Fresh Scent (12 ea ),http://www.walgreens.com/store/c/nice!-premium-dishwasher-packs-fresh-scent/ID=prod6309924-product, 04902286748,3.49,,
72,Method All-Purpose Surface Cleaner (28 fl oz ),http://www.walgreens.com/store/c/method-all-purpose-surface-cleaner/ID=prod6085129-product?skuId=sku6077671, 81793900005,4.29,5.0,6
73,Nice! Disinfectant Wipes Lemon (75 sh ),http://www.walgreens.com/store/c/nice!-disinfectant-wipes-lemon/ID=prod6298603-product, 04902285097,4.49,,
74,Soft Scrub Cleanser with Bleach Surface Cleaner (24 oz ),http://www.walgreens.com/store/c/soft-scrub-cleanser-with-bleach-surface-cleaner/ID=prod6373750-product, 02340001602,3.99,,
75,Swiffer Wet Cloths With Gain (24 ea ),http://www.walgreens.com/store/c/swiffer-wet-cloths-with-gain/ID=prod6303864-product, 03700083052,9.99,3.9,87
76,"Sun Liquid Laundry Detergent Oxi Fresh, 30 Loads (45.4 oz )","http://www.walgreens.com/store/c/sun-liquid-laundry-detergent-oxi-fresh,-30-loads/ID=prod6300617-product", 07261371036,,,
77,OxiClean Versatile Stain Remover Powder (3 lb ),http://www.walgreens.com/store/c/oxiclean-versatile-stain-remover-powder/ID=prod6092467-product, 75703751523,11.49,4.4,283
78,S.O.S Steel Wool Soap Pads (10 ea ),http://www.walgreens.com/store/c/s.o.s-steel-wool-soap-pads/ID=prod6090610-product, 01650098032,2.99,5.0,3
79,Lysol Disinfectant Spray Spring Waterfall (12.5 fl oz ),http://www.walgreens.com/store/c/lysol-disinfectant-spray-spring-waterfall/ID=prod1192-product, 01920002845,6.99,3.8,139
80,Nice! Disinfecting Wipes (15 sh ),http://www.walgreens.com/store/c/nice!-disinfecting-wipes/ID=prod6292234-product, 04902285900,1.99,4.7,3
81,Febreze Plug Air Freshener Scented Oil Refill Gain Original (0.87 fl oz ),http://www.walgreens.com/store/c/febreze-plug-air-freshener-scented-oil-refill-gain-original/ID=prod6145348-product, 03700032010,,4.6,750
82,Lysol Disinfectant Spray (12.5 Ounces ),http://www.walgreens.com/store/c/lysol-disinfectant-spray/ID=prod6039317-product, 01920081545,6.99,3.8,141
83,Nice! Disinfectant Spray Country Floral Rain (12.5 oz ),http://www.walgreens.com/store/c/nice!-disinfectant-spray-country-floral-rain/ID=prod6291669-product, 04902286064,4.99,5.0,1
