href,name,upc,currency,price,customer_rating,number_of_reviews,seller,ingredients
http://walmart.com/ip/Great-Value-Automatic-Dishwasher-Pacs-Fresh-Scent-96-Count/365041279,"Great Value Automatic Dishwasher Pacs, Fresh Scent, 96 Count",078742349206,$,4.98,4,5,,
http://walmart.com/ip/Pledge-Moisturizing-Oil-Amber-Argan-Scent-9-7-oz/607375688,"Pledge Moisturizing Oil, Amber & Argan Scent, 9.7 oz",046500000379,$,4.97,5,22,Walmart,"Water, White Mineral Oil, Isoparaffin, Sorbitan Oleate, Nitrogen, Glycerin, Fragrance, 2-Bromo-2-Nitropropane-1, 3-Diol. SCJ Formula # 35*33011"
http://walmart.com/ip/O-Cedar-Fast-N-Easy-Broom-with-Dust-Pan/51870942,O-Cedar Fast N Easy Broom with Dust Pan,041785997185,$,9.98,4.2,97,Walmart,
http://walmart.com/ip/Libman-XL-Broom-Dustpan/49211759,Libman XL Broom & Dustpan,071736002125,$,12.34,4.5,38,Walmart,
http://walmart.com/ip/Weiman-Granite-Cleaner-Polish-16-Ounce/22234372,Weiman Granite Cleaner & Polish - 16 Ounce,041598003257,$,4.12,4.4,122,Walmart,
http://walmart.com/ip/BISSELL-2X-Pet-Stain-and-Odor-Advanced-Formula-for-Full-Size-Carpet-Cleaning-62-oz-88N2/17376410,"BISSELL 2X Pet Stain and Odor Advanced Formula for Full Size Carpet Cleaning, 62 oz, 88N2",011120069709,$,19.97,4.4,45,Walmart,
http://walmart.com/ip/Scrubbing-Bubbles-Continuous-Clean-Drop-Ins-Blue-Discs-5-ct-7-05-oz/44668110,"Scrubbing Bubbles Continuous Clean Drop-Ins, Blue Discs, 5 ct, 7.05 oz",025700711964,$,4.88,4,128,Walmart,"Cleaning Agent, Carrier, pH Adjuster, Fragrance, Binders, Dye, Chelator. SCJ Formula # 35*4291"
http://walmart.com/ip/Drano-Max-Gel-Clog-Remover-Commercial-Line-128-fl-oz/17011093,"Drano Max Gel Clog Remover, Commercial Line, 128 fl oz",019800001094,$,11.97,4.7,24,Walmart,"Water, Cleaning Agent, Bleach, Caustic, Corrosion Inhibitor"
http://walmart.com/ip/Clorox-Ultra-Clean-Toilet-Tablets-Bleach-Blue-Rain-Clean-Scent-2-47-Ounces-Each-4-Count/23619935,"Clorox Ultra Clean Toilet Tablets Bleach & Blue, Rain Clean Scent - 2.47 Ounces Each, 4 Count",044600309910,$,8.58,3.3,123,Walmart,"CONTAINS: Sodium citrate, methyl ethyl hydroxyethyl cellulose, sodium C10-13 alkyl benzenesulfonate, cocamide MEA, colorant, sodium carbonate, sodium lauryl sulfate, hydrated silica, fragrance, dipropylene glycol, dichlorodimethyl hydantoin and dichloroethylmethyl hydantoin. Contains fragrance allergen(s)."
http://walmart.com/ip/Resolve-Dual-Pack-High-Traffic-Carpet-Foam-44oz-Removes-Stains/22789479,"Resolve Dual Pack High Traffic Carpet Foam, 44oz, Removes Stains",019200846486,$,6.98,4.4,170,Walmart,
http://walmart.com/ip/Bona-Hardwood-Floor-Cleaner-22-fl-oz-Spray/17046452,Bona® Hardwood Floor Cleaner 22 fl. oz. Spray,737025000264,$,5.97,3.2,136,Walmart,
http://walmart.com/ip/Liquid-Plumr-Urgent-Clear-our-fastest-clog-remover-17-Ounces/15723915,"Liquid-Plumr Urgent Clear, our fastest clog remover, 17 Ounces",044600305486,$,3.87,4.4,352,Walmart,"Contains sodium hypochlorite, sodium hydroxide and alkylamine oxides. Contains no phosphorus."
http://walmart.com/ip/Drano-Dual-Force-Foamer-Clog-Remover-17-fl-oz/14869853,"Drano Dual-Force Foamer Clog Remover, 17 fl oz",019800127381,$,4.18,4.1,64,Walmart,"Water, Bleach, Cleaning Agent, Caustic, Foaming Agent, Corrosion Inhibitor."
http://walmart.com/ip/Easy-Off-Fume-Free-Oven-Cleaner-Spray-Lemon-14-5oz-Removes-Grease/26178258,"Easy-Off Fume Free Oven Cleaner Spray, Lemon 14.5oz, Removes Grease",062338879772,$,4.24,4.3,71,Walmart,
http://walmart.com/ip/Pledge-Dust-Allergen-Multisurface-Cleaner-Lemon-9-7-oz/20636269,"Pledge Dust & Allergen Multisurface Cleaner, Lemon, 9.7 oz",046500723759,$,4.48,4.8,50,Walmart,"Water, Isoparaffin, Dimethicone, Sorbitan Oleate, Nitrogen, Glycerin, Fragrance, 2-Bromo-2-Nitropropane-1,3-Diol. SCJ formula #35*32815"
http://walmart.com/ip/Lysol-Automatic-Toilet-Bowl-Cleaner-2ct-Brand-New-Day-Mango-Hibiscus/262591296,Lysol Automatic Toilet Bowl Cleaner 2ct Brand New Day Mango & Hibiscus,019200963176,$,2.97,2,145,Walmart,
http://walmart.com/ip/Woolite-Carpet-Upholstery-Foam-Cleaner-12-oz/26542098,"Woolite Carpet & Upholstery Foam Cleaner, 12 oz",011120007084,$,3.88,4.2,71,Walmart,
http://walmart.com/ip/Lysol-Hygienic-Automatic-Toilet-Bowl-Cleaner-Atlantic-Fresh-2ct/17236823,"Lysol Hygienic Automatic Toilet Bowl Cleaner, Atlantic Fresh, 2ct",019200837217,$,2.97,3,95,Walmart,
http://walmart.com/ip/Clorox-Disinfecting-Wipes-300-Count-Value-Pack-Bleach-Free-Cleaning-Wipes-4-Pack-75-Count-Each/35606660,"Clorox Disinfecting Wipes (300 Count Value Pack), Bleach Free Cleaning Wipes - 4 Pack - 75 Count Each",044600311623,$,12.78,4.8,27261,Walmart,"ACTIVE INGREDIENTS: n-Alkyl (C14, 60%; C16, 30%; C12, 5%; C18, 5%) Dimethyl Benzyl Ammonium Chloride.0.184% n-Alkyl (C12, 68%; C14, 32%) Dimethyl Ethylbenzyl Ammonium Chloride.0.184% OTHER INGREDIENTS: 99.632% CONTAINS NO PHOSPHORUS"
http://walmart.com/ip/Lysol-Disinfecting-Wipes-Ocean-Fresh-Lemon-320ct-4x80ct-Cleaner/936728961,"Lysol Disinfecting Wipes, Ocean Fresh & Lemon, 320ct (4x80ct), Cleaner",019200992565,$,11.52,4.6,87,Walmart,
http://walmart.com/ip/Great-Value-Disinfecting-Wipes-Fresh-Lemon-Scent-225-wipes/35067463,"Great Value Disinfecting Wipes, Fresh & Lemon Scent, 225 wipes",078742030005,$,8.97,4.6,169,Walmart,"Other Ingredients: 99.768%, Total: ¹100.000%, ¹Includes weight of absorbent wipe"
http://walmart.com/ip/Lysol-Disinfectant-Spray-Crisp-Linen-25oz-2X12-5oz-Cleaner/37241006,"Lysol Disinfectant Spray, Crisp Linen, 25oz (2X12.5oz), Cleaner",019200899468,$,8.35,4.6,336,Walmart,"Other Ingredients: 41.90%, Total: 100.00%"
http://walmart.com/ip/Great-Value-All-Purpose-Cleaner-Lemon-Scent-32-fl-oz/49932619,"Great Value All Purpose Cleaner, Lemon Scent, 32 fl oz",078742105147,$,1.97,4.4,27,Walmart,"Inert Ingredients 99.86700%, Total 100.00000%"
http://walmart.com/ip/Lysol-Brand-New-Day-All-Purpose-Cleaner-32oz-Mango-Hibiscus-Deep-Clean/412071836,"Lysol Brand New Day All Purpose Cleaner 32oz, Mango & Hibiscus, Deep Clean",019200987721,$,2.47,4.4,72,Walmart,"Active Ingredient: Alkyl (67% C12, 25% C14, 7% C16, 1% C8-C10-C18), Dimethyl Benzyl Ammonium Chloride (0.0216%). Other Ingredients: 99.8924%, Total: 100.00%."
http://walmart.com/ip/Swiffer-WetJet-Multi-Purpose-Floor-Cleaner-Solution-Refill-Lavender-Vanilla-and-Comfort-Scent-2-Ct-1-25L-each/14150016,"Swiffer WetJet Multi-Purpose Floor Cleaner Solution Refill, Lavender Vanilla and Comfort Scent, 2 Ct, 1.25L each",037000265368,$,9.42,3.7,886,Walmart,"Contains Cleaning Agents (Including Solvents), Perfume And Water. Contains No Phosphate."
http://walmart.com/ip/CLR-Calcium-Lime-Rust-Remover-Household-Cleaner-28-Oz-Bottle/14574716,"CLR Calcium Lime & Rust Remover, Household Cleaner, 28 Oz Bottle",078291310825,$,4.77,4.1,168,Walmart,Septic safe. Contains NO phosphates and is not corrosive.
http://walmart.com/ip/Great-Value-Toilet-Brush-and-Caddy/396243605,Great Value Toilet Brush and Caddy,078742262116,$,4.42,4.4,37,Walmart,
http://walmart.com/ip/Lime-A-Way-Bathroom-Cleaner-22oz-Bottle-Removes-Lime-Calcium-Rust/21098640,"Lime-A-Way Bathroom Cleaner, 22oz Bottle, Removes Lime Calcium Rust",051700871032,$,9.97,4.2,57,Walmart,Contains Sulfamic Acid And Ethoxylated Tallow Amine. Contains No Phosphates.
http://walmart.com/ip/Bar-Keepers-Friend-Soft-Cleanser-Liquid-26-fl-oz/16662144,"Bar Keepers Friend Soft Cleanser Liquid, 26 fl oz",071618116261,$,2.52,4.5,55,Walmart,
http://walmart.com/ip/Scotch-Brite-Non-Scratch-Scrub-Dots-Scrub-Sponge-3-Count/811863006,"Scotch-Brite Non-Scratch Scrub Dots Scrub Sponge, 3 Count",076308910518,$,2.82,4.7,256,Walmart,
http://walmart.com/ip/Scrubbing-Bubbles-Continuous-Clean-Drop-Ins-Blue-Discs-3-ct-4-23-oz/44667882,"Scrubbing Bubbles Continuous Clean Drop-Ins, Blue Discs, 3 ct, 4.23 oz",019800704803,$,4.98,3.9,32,Walmart,"Cleaning Agent, Carrier, pH Adjuster, Fragrance, Binders, Dye, Chelator. SCJ Formula # 35*4291"
http://walmart.com/ip/Formula-409-Carpet-Cleaner-Aerosol-Can-22-Ounces/20576218,"Formula 409 Carpet Cleaner Aerosol Can, 22 Ounces",044600012117,$,2.96,4.3,55,Walmart,"Contains hydrogen peroxide, isopropyl alcohol and nonionic surfactant. Contains no phosphorus."
http://walmart.com/ip/Great-Value-Dishwasher-Rinse-Agent-16-fl-oz/15028868,"Great Value Dishwasher Rinse Agent, 16 fl oz",078742014807,$,2.67,4.5,59,,
http://walmart.com/ip/Pumie-Scouring-Stick/23098372,Pumie Scouring Stick,071132000220,$,9.97,4.7,63,Walmart,Pumice.
http://walmart.com/ip/Summer-s-Eve-Feminine-Cleansing-Cloths-Sensitive-Skin-16-ea/10320242,Summer's Eve Feminine Cleansing Cloths Sensitive Skin 16 ea,041608871104,$,7.53,4.9,330,Mr. Medical,"Purified Water, Octoxynol-9, Citric Acid, Sodium Benzoate, Tocopheryl Acetate, Aloe Barbadensis Leaf Juice, Neutresse, Disodium EDTA, Fragrance, Sodium Sulfite, Ascorbic Acid, Potassium Sorbate."
http://walmart.com/ip/Murphy-Oil-Soap-Wood-Cleaner-Original-32-fluid-ounce-2-count/37396926,"Murphy Oil Soap Wood Cleaner, Original - 32 fluid ounce, 2 count",070481011659,$,6.48,4.7,257,Walmart,
http://walmart.com/ip/Favor-Furniture-Polish-9-7-Ounces/41107428,Favor Furniture Polish 9.7 Ounces.,046500732263,$,2.47,4.3,18,Walmart,"Water,Dimethicone,Isoparaffin,Octylphosphonic Acid,Nitrogen,Polysorbate 80,Sorbitan Oleate,Polydimethylsiloxane,Aminomethyl Propanol,Fragrance,Proprietary Thickening Agent,Methylisothiazolinone;"
http://walmart.com/ip/Weiman-Ceramic-Glass-Cooktop-Cleaner-12-oz/15107755,"Weiman Ceramic & Glass Cooktop Cleaner, 12 oz",041598000706,$,4.12,4.1,122,Walmart,
http://walmart.com/ip/Finish-In-wash-Dishwasher-Cleaner-Clean-Hidden-Grease-and-Grime-3ct/457138653,"Finish In-wash Dishwasher Cleaner: Clean Hidden Grease and Grime, 3ct",051700988976,$,4.97,4.5,28,Walmart,"Contains Sodium Carbonate, Polymer, Surfactants, Sodium chloride and Enzymes."
http://walmart.com/ip/O-Cedar-MicroTwist-Microfiber-Twist-Mop/46396924,O-Cedar MicroTwist Microfiber Twist Mop,041785997826,$,9.98,3.4,205,Walmart,
http://walmart.com/ip/Plink-Fresh-Lemon-Garbage-Disposer-Cleaner-and-Deodorizer-0-81-oz/23591158,"Plink Fresh Lemon Garbage Disposer Cleaner and Deodorizer, 0.81 oz",042887409880,$,3.96,4.3,23,Walmart,
http://walmart.com/ip/Weiman-Stainless-Steel-Cleaner-and-Polish-12-oz/15107749,Weiman Stainless Steel - Cleaner and Polish 12 oz,041598000027,$,4.12,4.5,161,Walmart,"Contains: Biodegradable Surfactants (Anionic and Nonionic), Perfume and Enzymes."
http://walmart.com/ip/CLR-Bath-Kitchen-Cleaner-Enhanced-Formula-Multi-Surface-Cleaner-Fresh-Scent-26-Oz/15716789,CLR Bath & Kitchen Cleaner Enhanced Formula Multi-Surface Cleaner Fresh Scent 26 Oz,078291219265,$,3.94,4.4,86,Walmart,"Septic safe, and does not contain phosphates, alcohol, ammonia, or bleach"
http://walmart.com/ip/Great-Value-Fume-Free-Heavy-Duty-Oven-Cleaner-16-oz/44391368,"Great Value Fume Free Heavy Duty Oven Cleaner, 16 oz",078742060415,$,2.98,4,45,Walmart,"Water, 7732-18-5, Diluent; Diethylene glycol monobutyl ether, 112-34-5 Solvent; Potassium Carbonate, 584-08-7, Stabilizer; Isobutane, 75-28-5, Sequestering Agent; Ethanolamine, 141-43-5, pH Adjuster; Caprylyl/Capryl Glucoside, 68515-73-1, Surfactant; Smectite Clay, 12199-37-0, Thickener; Paraffin, 8002-74-2, Wax; Butoxyethanol, 111-76-2, none; Fragrance Ingredients, Not Applicable, Fragrance; Citral, 5392-40-5, Fragrance Component; Diethyl phthalate, 84-66-2, Fragrance Component; Limonene, 5989-27-5, Fragrance Component"
